location_desc,location_desc_fr,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,ObjectId
Elgin Street and Slater Street,Rue Elgin and Rue Slater,2018,45.42190879,-75.69381322,367890.7049,5031646.579,Eastbound,42
Arlington Avenue and Kent Street,Avenue Arlington et Rue Kent,2018,45.40941288,-75.69427205,367868.7071,5030257.566,Northbound,43
Aviation Parkway and Montreal Road,Promenade Aviation et Chemin Montreal,2017,45.44366406,-75.63909822,372146.7151,5034108.594,Eastbound,44
Hogs Back Road and Meadowlands Drive,Rue Hogs Back et Promenade Meadowlands,2017,45.36839102,-75.70119678,367371.9189,5025693.477,Northbound,45
Murray Street and Sussex Avenue,Rue Murray et Avenue Sussex,2018,45.4286548,-75.69605817,367707.526,5032394.497,Northbound,46
Cedarview Road and Fallowfield Road,Chemin Cedarview et Chemin Fallowfield,2017,45.27866592,-75.7799176,361294.6699,5015664.437,Westbound,47
Innes Road and Orleans Boulevard,Chemin Innes et Boulevard Orleans,2017,45.44450342,-75.53280378,380460.7951,5034296.403,Southbound,48
Walkley Road and Glenhaven Private,Chemin Walkley et Privé Glenhaven,2017,45.36973398,-75.66494736,370209.861,5025871.531,Eastbound,49
St. Joseph Boulevard and Tenth Line Road,Boulevard St. Joseph et Chemin Tenth Line,2018,45.48355406,-75.50105058,382890.809,5038666.453,Eastbound,50
Heron Road 155m west of Bank Street,Chemin Heron 155m à l'ouest du Rue Bank,2017,45.3784036,-75.66945865,369846.5513,5026831.311,Eastbound,51
Tenth Line Road and Vanguard Drive,Chemin Tenth Line et Promenade Vanguard,2017,45.45833915,-75.48637951,384073.031,5035878.694,Northbound,52
Hawthorne Road and Leitrim Road,Chemin Hawthorne et Chemin Leitrim,2017,45.34061302,-75.57823933,377038.7589,5022709.501,Northbound,53
Lyon Street and Slater Street,Rue Lyon and Rue Slater,2018,45.417535,-75.703944,367102.703,5031152.575,Southbound,54
Walkley Road and Ryder Street/Don Ried Drive,Chemin Walkley and Rue Ryder/Promenade Don Ried,2020,45.3822204,-75.63422114,372601.7269,5027284.544,Westbound,55
Bank Street and Hunt Club Road,Rue Bank et Chemin Hunt Club,2020,45.35363104,-75.64733066,371608.731,5024096.514,Northbound,56
Catherine Street and O'Connor Street/417 Westbound On Ramp,Rue Catherine et Rue O'Connor/417 Ouest,2020,45.41059366,-75.68946433,368243.711,5030392.564,Southbound,57
Carling Avenue and Iroquois Road,Avenue Carling et Chemin Iroquois,2020,45.37182033,-75.76700336,362213.686,5026025.53,Eastbound,58
King Edward Avenue and Besserer Street,Avenue King Edward et Rye Besserer,2020,45.42809335,-75.68529062,368550.7052,5032340.582,Northbound,59
Russell Road and St. Laurent Boulevard,Chemin Russell et Boulevard St. Laurent,2020,45.39990521,-75.62158646,373569.7331,5029260.545,Southbound,60
Montreal Road and Brittany Drive,Chemin Montreal et Promenade Brittany,2021,45.44266084,-75.64210469,371912.714,5033994.593,Westbound,61
Hunt Club Road and Downpatrick Road/McCarthy Road,Chemin Hunt Club et Chemin Downpatrick/Chemin McCarthy,2021,45.34747262,-75.66147357,370507.726,5023400.509,Eastbound,62
Heron Road and Jefferson Street,Chemin Heron et Rue Jefferson,2021,45.38020918,-75.6443775,371808.7279,5027052.536,Westbound,63
March Road and Carp Road,Chemin March et Chemin Carp,2021,45.33454599,-76.02328249,342164.5471,5021732.505,Eastbound,64
Jeanne D'Arc Boulevard and Champlain Street,Boulevard Jeanne D'Arc et Rue Champlain,2021,45.48423559,-75.52036864,381379.7381,5038723.597,Eastbound,65
Eagleson Road and Cope Drive,Chemin Eagleson et Promenade Cope,2021,45.28243692,-75.86494308,354620.626,5016027.438,Southbound,66
Carling Avenue and Island Park Drive,Avenue Carling et Promenade Island Park,2021,45.38930031,-75.72674059,365348.6989,5027997.548,Westbound,67
Strandherd Drive and Jockvale Road,Promenade Strandherd et Chemin Jockvale,2011,45.26870306,-75.75116853,363560.4819,5014577.85,Eastbound,68
Albion Road and Rideau Road,Chemin Albion et Chemin Rideau,2022,45.28650966,-75.60392333,375092.7522,5016674.46,Southbound,69
Bank Street and Riverside Drive (North),Rue Bank et Promenade Riverside (Côté Nord),2022,45.38882841,-75.67723452,369225.7159,5027983.546,Northbound,70
Hunt Club Road and Cahill Drive,Chemin Hunt Club et Promenade Cahill ,2022,45.35756736,-75.63707326,372407.7347,5024542.509,Westbound,71
Carling Avenue and Merivale Road,Avenue Carling et Chemin Merival,2022,45.38666703,-75.73257414,364894.7038,5027700.544,Westbound,72
Carling Avenue 195m West of Iroquois Road,Avenue Carling 195m à l'ouest du Chemin Iroquois,2022,45.37087356,-75.76881154,362073.0121,5025919.029,Westbound,73
Carling Avenue and Fairlawn Avenue,Avenue Carling et Avenue Fairlawn,2022,45.37008858,-75.77058769,361934.679,5025830.534,Eastbound,74
Carp Road and Richardson Side Road,Chemin Carp et Chemin Richardson Side,2022,45.29317806,-75.97205827,346209.5557,5017160.457,Southbound,75
Conroy Road and Johnston Road,Chemin Conroy et Chemin Johnston,2022,45.37336061,-75.62420532,373396.8071,5026308.46,Northbound,76
Conroy Road and Lorry Greenberg Drive,Chemin Conroy et Promenade Lorry Greenberg,2022,45.36947236,-75.62207744,373568.186,5025878.183,Northbound,77
Smyth Road and Haig Drive ,Chemin Smyth et Promenade Haig,2022,45.40034514,-75.63441699,372564.7249,5029298.548,Eastbound,78
Carling Avenue and Holly Acres Road,Avenue Carling et Chemin Holly Acres ,2022,45.34938793,-75.81807293,358234.6563,5023497.518,Eastbound,79
Jeanne D'Arc Boulevard and Vineyard Drive/ Fortune Drive,Boulevard Jeanne D'Arc et Promenade Vineyard/Promenade Fortune,2022,45.47233893,-75.54795751,379238.7286,5037375.598,Northbound,80
Terry Fox Drive 135m South of Hazeldean Road,Promenade Terry Fox 135m sud du Chemin Hazeldean,2022,45.29260541,-75.89451488,352292.2135,5017139.577,Northbound,81
Vanier Parkway and Presland Road,Promenade Vanier et Chemin Presland,2022,45.42262016,-75.6613151,370433.1219,5031751.637,Southbound,82
Elgin Street and Slater Street,Rue Elgin and Rue Slater,2022,45.42190879,-75.69381322,367890.7049,5031646.579,Southbound,83
Wellington Street and Bay Street,Rue Wellington et Rue Bay,2022,45.41935066,-75.70759843,366814.7011,5031351.577,Eastbound,84
Navan Road and Renaud Road,Chemin Navan et Chemin Renaud,2022,45.43032102,-75.51571663,381816.7611,5032736.549,Southbound,85
